id,file,celline_id,dataset_id,vanderbilt_id,citbcmst_id,created_at,updated_at
1,BT.20_SS331465_HG.U133_Plus_2_HCHP.182965_.CEL,5,7,136,2,,2018-03-28 07:19:57
2,BT.20_SS331466_HG.U133_Plus_2_HCHP.182966_.CEL,5,7,137,2,,2018-03-28 07:19:57
3,BT.20_SS331467_HG.U133_Plus_2_HCHP.182967_.CEL,5,7,138,2,,2018-03-28 07:19:57
4,BT474_brst_SS117188_HG.U133_Plus_2_HCHP.85191_.CEL,2,7,2,3,,2018-03-28 07:19:57
5,BT474_brst_SS117189_HG.U133_Plus_2_HCHP.85192_.CEL,2,7,2,1,,2018-03-28 07:19:57
6,BT474_brst_SS117190_HG.U133_Plus_2_HCHP.85193_.CEL,2,7,2,1,,2018-03-28 07:19:57
7,DU4475_SS331509_HG.U133_Plus_2_HCHP.172126_.CEL,17,7,,2,,2018-03-28 07:19:44
8,DU4475_SS331510_HG.U133_Plus_2_HCHP.172127_.CEL,17,7,,2,,2018-03-28 07:19:44
9,DU4475_SS331511_HG.U133_Plus_2_HCHP.172128_.CEL,17,7,,2,,2018-03-28 07:19:44
10,EFM.19_SS335853_HG.U133_Plus_2_HCHP.172129_.CEL,31,7,2,3,,2018-03-28 07:19:57
11,EFM.19_SS335854_HG.U133_Plus_2_HCHP.172130_.CEL,31,7,2,3,,2018-03-28 07:19:57
12,EFM.19_SS335855_HG.U133_Plus_2_HCHP.172131_.CEL,31,7,2,3,,2018-03-28 07:19:57
13,HCC1143_SS272501_HG.U133_Plus_2_HCHP.170301_.CEL,13,7,,11,,2018-03-28 07:19:44
14,HCC1143_SS272502_HG.U133_Plus_2_HCHP.170302_.CEL,13,7,,11,,2018-03-28 07:19:44
15,HCC1143_SS272503_HG.U133_Plus_2_HCHP.170303_.CEL,13,7,,2,,2018-03-28 07:19:44
16,HCC1395_SS331377_HG.U133_Plus_2_HCHP.209551_.CEL,18,7,,2,,2018-03-28 07:19:44
17,HCC1395_SS331378_HG.U133_Plus_2_HCHP.209552_.CEL,18,7,139,2,,2018-03-28 07:19:57
18,HCC1395_SS331379_HG.U133_Plus_2_HCHP.209553_.CEL,18,7,140,11,,2018-03-28 07:19:57
19,HCC1599_SS331381_HG.U133_Plus_2_HCHP.172135_.CEL,38,7,141,2,,2018-03-28 07:19:57
20,HCC1599_SS331382_HG.U133_Plus_2_HCHP.172136_.CEL,38,7,142,2,,2018-03-28 07:19:57
21,HCC1599_SS331383_HG.U133_Plus_2_HCHP.172137_.CEL,38,7,143,2,,2018-03-28 07:19:57
22,HCC1937_SS125587_HG.U133_Plus_2_HCHP.95936_.CEL,7,7,3,2,,2018-03-28 07:19:57
23,HCC1937_SS125588_HG.U133_Plus_2_HCHP.95937_.CEL,7,7,144,2,,2018-03-28 07:19:57
24,HCC1937_SS125589_HG.U133_Plus_2_HCHP.95938_.CEL,7,7,,2,,2018-03-28 07:19:44
25,HCC1954_brst_SS110844_HG.U133_Plus_2_HCHP.74903_.CEL,8,7,76,1,,2018-03-28 07:19:57
26,HCC1954_brst_SS110845_HG.U133_Plus_2_HCHP.74905_.CEL,8,7,,1,,2018-03-28 07:19:44
27,HCC1954_brst_SS110846_HG.U133_Plus_2_HCHP.74904_.CEL,8,7,145,1,,2018-03-28 07:19:57
28,HCC2157_SS331385_HG.U133_Plus_2_HCHP.172138_.CEL,39,7,146,2,,2018-03-28 07:19:57
29,HCC2157_SS331386_HG.U133_Plus_2_HCHP.172139_.CEL,39,7,147,2,,2018-03-28 07:19:57
30,HCC2157_SS331387_HG.U133_Plus_2_HCHP.172140_.CEL,39,7,38,2,,2018-03-28 07:19:57
31,HCC2218_SS272505_HG.U133_Plus_2_HCHP.182977_.CEL,15,7,148,1,,2018-03-28 07:19:57
32,HCC2218_SS272506_HG.U133_Plus_2_HCHP.182978_.CEL,15,7,149,1,,2018-03-28 07:19:57
33,HCC2218_SS272507_HG.U133_Plus_2_HCHP.182979_.CEL,15,7,150,6,,2018-03-28 07:19:57
34,HCC38_SS272509_HG.U133_Plus_2_HCHP.182980_.CEL,9,7,151,2,,2018-03-28 07:19:57
35,HCC38_SS272510_HG.U133_Plus_2_HCHP.182981_.CEL,9,7,152,11,,2018-03-28 07:19:57
36,HCC38_SS272511_HG.U133_Plus_2_HCHP.182982_.CEL,9,7,153,11,,2018-03-28 07:19:57
37,KPL.1_SS335881_HG.U133_Plus_2_HCHP.172150_.CEL,27,7,2,3,,2018-03-28 07:19:57
38,KPL.1_SS335882_HG.U133_Plus_2_HCHP.172151_.CEL,27,7,2,3,,2018-03-28 07:19:57
39,KPL.1_SS335883_HG.U133_Plus_2_HCHP.172152_.CEL,27,7,2,3,,2018-03-28 07:19:57
40,MCF.7_ATCC_SS163761_HG.U133_Plus_2_HCHP.127703_.CEL,1,7,2,3,,2018-03-28 07:19:57
41,MCF.7_ATCC_SS163762_HG.U133_Plus_2_HCHP.127704_.CEL,1,7,2,3,,2018-03-28 07:19:57
42,MCF.7_ATCC_SS163763_HG.U133_Plus_2_HCHP.127705_.CEL,1,7,2,3,,2018-03-28 07:19:57
43,MDA.MB.175.VII_SS331405_HG.U133_Plus_2_HCHP.209563_.CEL,43,7,2,12,,2018-03-28 07:19:57
44,MDA.MB.175.VII_SS331406_HG.U133_Plus_2_HCHP.209564_.CEL,43,7,154,1,,2018-03-28 07:19:57
45,MDA.MB.175.VII_SS331407_HG.U133_Plus_2_HCHP.209565_.CEL,43,7,2,13,,2018-03-28 07:19:57
46,MDA.MB.453_brst_SS110877_HG.U133_Plus_2_HCHP.63383_.CEL,3,7,123,1,,2018-03-28 07:19:57
47,MDA.MB.453_brst_SS110878_HG.U133_Plus_2_HCHP.63384_.CEL,3,7,44,1,,2018-03-28 07:19:57
48,MDA.MB.453_brst_SS110879_HG.U133_Plus_2_HCHP.63385_.CEL,3,7,155,1,,2018-03-28 07:19:57
49,MT.3_SS335913_HG.U133_Plus_2_HCHP.172162_.CEL,35,7,,2,,2018-03-28 07:19:44
50,MT.3_SS335914_HG.U133_Plus_2_HCHP.172163_.CEL,35,7,156,2,,2018-03-28 07:19:57
51,MT.3_SS335915_HG.U133_Plus_2_HCHP.172164_.CEL,35,7,,2,,2018-03-28 07:19:44
52,UACC.812_SS275825_HG.U133_Plus_2_HCHP.168808_.CEL,12,7,2,3,,2018-03-28 07:19:57
53,UACC.812_SS275826_HG.U133_Plus_2_HCHP.168809_.CEL,12,7,2,3,,2018-03-28 07:19:57
54,UACC.812_SS275827_HG.U133_Plus_2_HCHP.168810_.CEL,12,7,2,3,,2018-03-28 07:19:57
55,UACC.893_SS275829_HG.U133_Plus_2_HCHP.168811_.CEL,22,7,157,1,,2018-03-28 07:19:57
56,UACC.893_SS275830_HG.U133_Plus_2_HCHP.168812_.CEL,22,7,158,1,,2018-03-28 07:19:57
57,UACC.893_SS275831_HG.U133_Plus_2_HCHP.168813_.CEL,22,7,159,1,,2018-03-28 07:19:57
58,041004.01.CEL,4,1,2,3,,2018-03-28 07:19:56
59,041004.02.CEL,29,1,2,3,,2018-03-28 07:19:56
60,041004.03s2.CEL,34,1,71,2,,2018-03-28 07:19:56
61,041004.04.CEL,7,1,,2,,2018-03-28 07:19:43
62,041004.05.CEL,26,1,2,3,,2018-03-28 07:19:56
63,041004.06.CEL,102,1,72,1,,2018-03-28 07:19:56
64,041004.07.CEL,3,1,73,9,,2018-03-28 07:19:56
65,041004.08.CEL,73,1,74,2,,2018-03-28 07:19:56
66,041004.09.CEL,1,1,2,3,,2018-03-28 07:19:56
67,041004.10.CEL,11,1,72,1,,2018-03-28 07:19:56
68,041004.11.CEL,12,1,2,3,,2018-03-28 07:19:56
69,041004.12.CEL,30,1,75,3,,2018-03-28 07:19:56
70,041104.5.CEL,45,1,2,10,,2018-03-28 07:19:56
71,041104.6.CEL,8,1,76,1,,2018-03-28 07:19:56
72,041104.7.CEL,101,1,77,1,,2018-03-28 07:19:56
73,041104.8.CEL,100,1,78,1,,2018-03-28 07:19:56
74,221004.1.CEL,42,1,2,3,,2018-03-28 07:19:56
75,221004.2.CEL,93,1,2,4,,2018-03-28 07:19:56
76,221004.3.CEL,16,1,79,2,,2018-03-28 07:19:56
77,221004.4.CEL,40,1,80,2,,2018-03-28 07:19:56
78,221004.5.CEL,65,1,81,2,,2018-03-28 07:19:56
79,221004.6.CEL,98,1,82,1,,2018-03-28 07:19:56
80,221004.7.CEL,47,1,2,3,,2018-03-28 07:19:56
81,221004.8.CEL,5,1,83,1,,2018-03-28 07:19:56
82,260105.01.CEL,66,1,,2,,2018-03-28 07:19:43
83,260105.02.CEL,9,1,84,2,,2018-03-28 07:19:56
84,260105.03.CEL,10,1,85,2,,2018-03-28 07:19:56
85,260105.04.CEL,95,1,86,2,,2018-03-28 07:19:56
86,260105.05.CEL,97,1,87,2,,2018-03-28 07:19:56
87,270904.1.CEL,2,1,88,4,,2018-03-28 07:19:56
88,270904.2.CEL,89,1,2,3,,2018-03-28 07:19:56
89,GSM1374406_Bx051b_005_HG2.CEL.gz,5,2,,1,,2018-03-28 07:19:42
90,GSM1374407_EA08079_80498_BT.20.CEL.gz,5,2,1,2,,2018-03-28 07:19:55
91,GSM1374408_Bx051b_035_HG2.CEL.gz,2,2,2,3,,2018-03-28 07:19:55
92,GSM1374409_BT474_ap071105.CEL.gz,2,2,2,3,,2018-03-28 07:19:55
93,GSM1374410_EA08079_80494_BT.474.CEL.gz,2,2,2,3,,2018-03-28 07:19:55
94,GSM1374411_BT474C_ap071105.CEL.gz,68,2,2,1,,2018-03-28 07:19:55
95,GSM1374412_Bx051b_011_HG2.CEL.gz,6,2,3,2,,2018-03-28 07:19:55
96,GSM1374413_EA08079_80502_BT.549.CEL.gz,6,2,,2,,2018-03-28 07:19:42
97,GSM1374429_Bx051b_058_HG2.CEL.gz,24,2,4,2,,2018-03-28 07:19:55
98,GSM1374437_EA08079_80510_CAMA.1.CEL.gz,30,2,2,3,,2018-03-28 07:19:55
99,GSM1374477_A1631.01.CEL.gz,57,2,5,1,,2018-03-28 07:19:55
100,GSM1374493_Bx051b_054_HG2.CEL.gz,13,2,,2,,2018-03-28 07:19:42
101,GSM1374494_Bx051b_010_HG2.CEL.gz,37,2,6,2,,2018-03-28 07:19:55
102,GSM1374495_EA08079_80499_HCC1187.CEL.gz,37,2,,2,,2018-03-28 07:19:42
103,GSM1374496_Bx051b_015_HG2.CEL.gz,18,2,7,2,,2018-03-28 07:19:55
104,GSM1374497_EA08079_80506_HCC1395.CEL.gz,18,2,8,2,,2018-03-28 07:19:55
105,GSM1374498_EA08079_80496_HCC1419.CEL.gz,25,2,2,3,,2018-03-28 07:19:55
106,GSM1374500_EA08079_80511_HCC1500.CEL.gz,26,2,2,3,,2018-03-28 07:19:55
107,GSM1374501_Bx051b_081_HG2.CEL.gz,33,2,9,2,,2018-03-28 07:19:55
108,GSM1374502_EA08079_81807_HCC1569.CEL.gz,33,2,10,2,,2018-03-28 07:19:55
109,GSM1374504_Bx051b_022_HG2.CEL.gz,14,2,11,2,,2018-03-28 07:19:55
110,GSM1374505_EA08079_80500_HCC1806.CEL.gz,14,2,12,2,,2018-03-28 07:19:55
111,GSM1374506_Bx051b_040_HG2.CEL.gz,7,2,13,2,,2018-03-28 07:19:55
112,GSM1374507_EA08079_80503_HCC1937.CEL.gz,7,2,14,2,,2018-03-28 07:19:55
113,GSM1374508_Bx051b_088_HG2.CEL.gz,8,2,15,1,,2018-03-28 07:19:55
114,GSM1374509_EA08079_80491_HCC1954.CEL.gz,8,2,16,1,,2018-03-28 07:19:55
115,GSM1374510_EA08079_80497_HCC202.CEL.gz,50,2,17,1,,2018-03-28 07:19:55
116,GSM1374511_Bx051b_013_HG2.CEL.gz,9,2,18,2,,2018-03-28 07:19:55
117,GSM1374512_A1631.02.CEL.gz,19,2,19,2,,2018-03-28 07:19:55
118,GSM1374549_Bx051b_041_HG2.CEL.gz,10,2,20,2,,2018-03-28 07:19:55
119,GSM1374550_Hs578T.CEL.gz,10,2,21,2,,2018-03-28 07:19:55
120,GSM1374578_EA08079_80514_JIMT.1.CEL.gz,51,2,,2,,2018-03-28 07:19:42
121,GSM1374603_A1631.05.CEL.gz,27,2,2,3,,2018-03-28 07:19:55
122,GSM1374604_A1631.06.CEL.gz,81,2,22,1,,2018-03-28 07:19:55
123,GSM1374643_Bx051b_020_HG2.CEL.gz,1,2,2,3,,2018-03-28 07:19:55
124,GSM1374644_MCF7.CEL.gz,1,2,2,3,,2018-03-28 07:19:55
125,GSM1374645_EA08079_80507_MCF7.CEL.gz,1,2,2,3,,2018-03-28 07:19:55
126,GSM1374646_MCF7.mdf+.CEL.gz,83,2,,,,
127,GSM1374647_A1631.03.CEL.gz,59,2,2,3,,2018-03-28 07:19:55
128,GSM1374648_MDA.MB.157.CEL.gz,34,2,24,2,,2018-03-28 07:19:55
129,GSM1374649_EA08079_80501_MDAMB157.CEL.gz,34,2,25,2,,2018-03-28 07:19:55
130,GSM1374650_EA08079_80512_MDAMB175.CEL.gz,42,2,2,3,,2018-03-28 07:19:55
131,GSM1374651_Bx051b_048_HG2.CEL.gz,16,2,26,2,,2018-03-28 07:19:55
132,GSM1374652_MDA.MB.231.CEL.gz,16,2,,2,,2018-03-28 07:19:42
133,GSM1374653_Bx051b_101_HG2.CEL.gz,44,2,2,3,,2018-03-28 07:19:55
134,GSM1374654_MDAMB_361_ghp071105.CEL.gz,44,2,2,3,,2018-03-28 07:19:55
135,GSM1374655_EA08079_80495_MDAMB361.CEL.gz,44,2,2,3,,2018-03-28 07:19:55
136,GSM1374656_A1631.04.CEL.gz,28,2,2,4,,2018-03-28 07:19:55
137,GSM1374657_Bx051b_050_HG2.CEL.gz,91,2,,2,,2018-03-28 07:19:42
138,GSM1374658_Bx051b_023_HG2.CEL.gz,20,2,,2,,2018-03-28 07:19:42
139,GSM1374659_EA08079_80504_MDAMB436.CEL.gz,20,2,,2,,2018-03-28 07:19:42
140,GSM1374660_Bx051b_038_HG2.CEL.gz,3,2,27,3,,2018-03-28 07:19:55
141,GSM1374661_MDA.MB.453.CEL.gz,3,2,28,5,,2018-03-28 07:19:55
142,GSM1374662_EA08079_80493_MDAMB453.CEL.gz,3,2,28,6,,2018-03-28 07:19:55
143,GSM1374663_Bx051b_104_HG2.CEL.gz,21,2,29,2,,2018-03-28 07:19:55
144,GSM1374664_MDAMB_468_ghp101105.CEL.gz,21,2,,7,,2018-03-28 07:19:42
145,GSM1374665_EA08079_80505_MDAMB468.CEL.gz,21,2,30,1,,2018-03-28 07:19:55
146,GSM1374872_Bx051b_036_HG2.CEL.gz,11,2,31,1,,2018-03-28 07:19:55
147,GSM1374873_SkBr3.CEL.gz,11,2,32,1,,2018-03-28 07:19:55
148,GSM1374874_EA08079_80492_SK.BR.3.CEL.gz,11,2,33,1,,2018-03-28 07:19:55
149,GSM1374910_Bx051b_063_HG2.CEL.gz,96,2,34,2,,2018-03-28 07:19:55
150,GSM1374911_Bx051b_079_HG2.CEL.gz,60,2,35,2,,2018-03-28 07:19:55
151,GSM1374912_EA08079_80513_SUM52PE.CEL.gz,53,2,36,1,,2018-03-28 07:19:55
152,GSM1374950_Bx051b_019_HG2.CEL.gz,4,2,2,3,,2018-03-28 07:19:55
153,GSM1374951_T47D.CEL.gz,4,2,2,3,,2018-03-28 07:19:55
154,GSM1374952_EA08079_80508_T.47D.CEL.gz,4,2,2,3,,2018-03-28 07:19:55
155,GSM1374993_Bx051b_030_HG2.CEL.gz,29,2,2,3,,2018-03-28 07:19:55
156,GSM1374994_ZR.75.1.CEL.gz,29,2,37,2,,2018-03-28 07:19:55
157,GSM1374995_EA08079_80509_ZR.75.1.CEL.gz,29,2,2,3,,2018-03-28 07:19:55
158,METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B11_240894.CEL,49,3,2,3,,2018-03-28 07:19:55
159,METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D05_240930.CEL,57,3,56,1,,2018-03-28 07:19:55
160,METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H10_241036.CEL,3,3,57,1,,2018-03-28 07:19:55
161,BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_A01_241042.CEL,16,3,,2,,2018-03-28 07:19:43
162,PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_A02_257600.CEL,21,3,,2,,2018-03-28 07:19:43
163,PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_A09_257614.CEL,6,3,,2,,2018-03-28 07:19:43
164,PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_A11_257618.CEL,36,3,59,2,,2018-03-28 07:19:55
165,NIECE_p_NCLE_RNA3_HG.U133_Plus_2_A05_295998.CEL,31,3,2,3,,2018-03-28 07:19:55
166,NIECE_p_NCLE_RNA3_HG.U133_Plus_2_E07_296098.CEL,2,3,2,3,,2018-03-28 07:19:55
167,NIECE_p_NCLE_RNA3_HG.U133_Plus_2_H08_296172.CEL,78,3,58,2,,2018-03-28 07:19:55
168,NIECE_p_NCLE_RNA3_HG.U133_Plus_2_H09_296174.CEL,28,3,2,3,,2018-03-28 07:19:55
169,CASED_p_NCLE_RNA4_HG.U133_Plus_2_B02_383772.CEL,23,3,46,1,,2018-03-28 07:19:55
170,CASED_p_NCLE_RNA4_HG.U133_Plus_2_C01_383628.CEL,10,3,,2,,2018-03-28 07:19:43
171,CASED_p_NCLE_RNA4_HG.U133_Plus_2_C02_383640.CEL,5,3,47,2,,2018-03-28 07:19:55
172,CASED_p_NCLE_RNA4_HG.U133_Plus_2_C08_383600.CEL,44,3,2,3,,2018-03-28 07:19:55
173,CASED_p_NCLE_RNA4_HG.U133_Plus_2_C09_383596.CEL,20,3,48,2,,2018-03-28 07:19:55
174,CASED_p_NCLE_RNA4_HG.U133_Plus_2_D06_383700.CEL,11,3,49,1,,2018-03-28 07:19:55
175,CASED_p_NCLE_RNA4_HG.U133_Plus_2_E02_383668.CEL,13,3,50,2,,2018-03-28 07:19:55
176,CASED_p_NCLE_RNA4_HG.U133_Plus_2_E05_383680.CEL,7,3,51,2,,2018-03-28 07:19:55
177,CASED_p_NCLE_RNA4_HG.U133_Plus_2_E06_383684.CEL,33,3,52,2,,2018-03-28 07:19:55
178,CASED_p_NCLE_RNA4_HG.U133_Plus_2_E12_383706.CEL,18,3,,2,,2018-03-28 07:19:43
179,CASED_p_NCLE_RNA4_HG.U133_Plus_2_G09_383594.CEL,37,3,,2,,2018-03-28 07:19:43
180,BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_B03_419876.CEL,15,3,44,3,,2018-03-28 07:19:55
181,BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_F08_419788.CEL,8,3,45,1,,2018-03-28 07:19:55
182,BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_F09_419786.CEL,30,3,2,3,,2018-03-28 07:19:55
183,BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_H08_419840.CEL,72,3,,2,,2018-03-28 07:19:43
184,AGENT_p_NCLE_RNA6_HG.U133_Plus_2_B01_436616.CEL,39,3,38,2,,2018-03-28 07:19:55
185,AGENT_p_NCLE_RNA6_HG.U133_Plus_2_E11_436480.CEL,79,3,39,2,,2018-03-28 07:19:55
186,AGENT_p_NCLE_RNA6_HG.U133_Plus_2_F09_436452.CEL,9,3,40,2,,2018-03-28 07:19:55
187,AGENT_p_NCLE_RNA6_HG.U133_Plus_2_F10_436454.CEL,17,3,41,2,,2018-03-28 07:19:55
188,AGENT_p_NCLE_RNA6_HG.U133_Plus_2_G03_436510.CEL,43,3,2,3,,2018-03-28 07:19:55
189,AGENT_p_NCLE_RNA6_HG.U133_Plus_2_H01_436482.CEL,105,3,42,3,,2018-03-28 07:19:55
190,AGENT_p_NCLE_RNA6_HG.U133_Plus_2_H12_436432.CEL,4,3,2,3,,2018-03-28 07:19:55
191,MAKER_p_NCLE_RNA7_HG.U133_Plus_2_C04_454614.CEL,29,3,2,3,,2018-03-28 07:19:55
192,MAKER_p_NCLE_RNA7_HG.U133_Plus_2_C07_454622.CEL,19,3,53,2,,2018-03-28 07:19:55
193,MAKER_p_NCLE_RNA7_HG.U133_Plus_2_G05_454738.CEL,1,3,2,3,,2018-03-28 07:19:55
194,MAKER_p_NCLE_RNA7_HG.U133_Plus_2_G10_454732.CEL,50,3,54,1,,2018-03-28 07:19:55
195,MAKER_p_NCLE_RNA7_HG.U133_Plus_2_H12_454750.CEL,34,3,55,2,,2018-03-28 07:19:55
196,WATCH_p_NCLE_RNA8_HG.U133_Plus_2_A07_474600.CEL,25,3,2,3,,2018-03-28 07:19:56
197,WATCH_p_NCLE_RNA8_HG.U133_Plus_2_A08_474686.CEL,47,3,2,3,,2018-03-28 07:19:56
198,WATCH_p_NCLE_RNA8_HG.U133_Plus_2_A09_474590.CEL,76,3,65,2,,2018-03-28 07:19:56
199,WATCH_p_NCLE_RNA8_HG.U133_Plus_2_A12_474732.CEL,32,3,2,3,,2018-03-28 07:19:56
200,WATCH_p_NCLE_RNA8_HG.U133_Plus_2_B05_474706.CEL,75,3,66,2,,2018-03-28 07:19:56
201,WATCH_p_NCLE_RNA8_HG.U133_Plus_2_B07_474632.CEL,45,3,2,3,,2018-03-28 07:19:56
202,WATCH_p_NCLE_RNA8_HG.U133_Plus_2_D01_474640.CEL,77,3,67,2,,2018-03-28 07:19:56
203,WATCH_p_NCLE_RNA8_HG.U133_Plus_2_F02_474714.CEL,24,3,68,2,,2018-03-28 07:19:56
204,WATCH_p_NCLE_RNA8_HG.U133_Plus_2_H01_474610.CEL,48,3,69,2,,2018-03-28 07:19:56
205,WATCH_p_NCLE_RNA8_HG.U133_Plus_2_H09_474734.CEL,51,3,70,2,,2018-03-28 07:19:56
206,SILOS_p_NCLE_RNA9_HG.U133_Plus_2_A05_523512.CEL,14,3,61,2,,2018-03-28 07:19:56
207,SILOS_p_NCLE_RNA9_HG.U133_Plus_2_C01_523502.CEL,12,3,2,3,,2018-03-28 07:19:56
208,SILOS_p_NCLE_RNA9_HG.U133_Plus_2_D02_523558.CEL,54,3,62,1,,2018-03-28 07:19:56
209,SILOS_p_NCLE_RNA9_HG.U133_Plus_2_D08_523486.CEL,59,3,2,3,,2018-03-28 07:19:56
210,SILOS_p_NCLE_RNA9_HG.U133_Plus_2_D09_523496.CEL,26,3,2,3,,2018-03-28 07:19:56
211,SILOS_p_NCLE_RNA9_HG.U133_Plus_2_D10_523634.CEL,38,3,63,2,,2018-03-28 07:19:56
212,SILOS_p_NCLE_RNA9_HG.U133_Plus_2_E11_523470.CEL,22,3,56,1,,2018-03-28 07:19:56
213,SILOS_p_NCLE_RNA9_HG.U133_Plus_2_H05_523478.CEL,58,3,64,2,,2018-03-28 07:19:56
